startSeconds,endSeconds,isTargetChild
28266.82,28267.42,False
28268.3,28269.36,False
28279.29,28280.14,False
28289.96,28290.57,False
28296.34,28298.23,False
28309.22,28310.16,True
28310.16,28311.55,True
28311.55,28312.2,True
28315.3,28315.9,True
28316.95,28318.29,True
28320.91,28321.63,True
28322.57,28323.44,False
28325.41,28326.65,True
28327.45,28328.09,True
28329.09,28331.46,False
28332.46,28333.35,False
28335.15,28336.35,True
28337.16,28338.65,True
28339.47,28342.54,True
28345.39,28346.04,False
28347.07,28348.48,True
28352.77,28353.4,False
28358.04,28358.94,True
28361.68,28362.42,False
28364.14,28365.06,True
28371.22,28371.89,True
28379.74,28380.78,True
28384.35,28384.95,False
28395.16,28396.33,False
28408.59,28409.19,False
28415.7,28416.37,True
28421.7,28422.31,True
28432.4,28433.03,True
28439.39,28439.99,False
28441.53,28442.14,False
28461.43,28462.31,False
28494.71,28495.31,True
28496.65,28499.1,False
28502.24,28502.84,False
28507.43,28508.31,False
28562.51,28563.16,False
28570.49,28571.09,False
28579.91,28580.77,False
28584.53,28585.13,True
28585.93,28586.53,True
28592.78,28593.4,True
28597.54,28598.14,True
28624.49,28625.95,False
28639.38,28640.14,False
28656.62,28657.31,False
28662.78,28663.48,False
28672.67,28673.74,False
28678.06,28679.18,True
28679.18,28679.78,False
28682.16,28682.76,False
28682.76,28683.91,False
28687.02,28688.46,True
28689.3,28689.9,False
28693.84,28694.45,False
28699.96,28700.61,True
28701.68,28702.3,False
28704.32,28706.44,True
28725.19,28725.79,True
28728.62,28729.59,True
28733.31,28734.12,False
28736.21,28737.14,False
28739.88,28740.87,False
28746.84,28747.7,False
28749.27,28749.87,False
28765.49,28766.09,False
28769.88,28770.48,False
28773.19,28774.3,False
28793.19,28793.79,False
28806.93,28807.53,False
28809.14,28809.75,False
28854.64,28855.25,False
28855.25,28856.42,False
28858.71,28859.31,False
28875.5,28876.1,False
28879.28,28879.88,False
28882.24,28883.08,False
28900.7,28901.89,False
28903.4,28904.04,False
28905.19,28906.84,False
28910.26,28910.86,False
28912.05,28914.02,False
28915.12,28915.72,False
28916.59,28917.33,False
28918.48,28919.8,False
28921.12,28921.83,False
28928.98,28929.58,False
28930.57,28931.28,False
28932.12,28932.72,True
28959.69,28960.29,True
28967.64,28970.04,False
28974.98,28975.67,False
28975.67,28976.69,False
28976.69,28977.74,False
28979.05,28979.73,True
28983.29,28983.93,False
28983.93,28984.93,False
28984.93,28985.66,False
28987.77,28988.37,False
28992.83,28993.43,True
29015.62,29016.53,False
29017.43,29018.05,False
29020.09,29020.69,False
29021.56,29022.16,False
29023.28,29023.9,False
29024.7,29025.3,False
29026.99,29027.6,True
29029.25,29029.91,False
29210.62,29211.22,False
29950.87,29952.18,False
29956.62,29958.85,False
30522.59,30523.24,True
30524.68,30525.28,False
30528.09,30528.89,False
30542.01,30543.29,False
31247.38,31248.03,False
31320.97,31323.22,False
31324.02,31324.62,False
31374.87,31375.47,True
31777.03,31778.15,True
31779.17,31779.77,True
31781.61,31782.58,True
32978.5,32979.1,False
33361.73,33362.37,False
33363.4,33364.46,False
33371.93,33372.53,False
33414.14,33414.74,False
33731.79,33732.89,False
33736.57,33737.17,True
33762.75,33763.35,True
33795.56,33796.16,False
33796.98,33797.58,True
33810.27,33811.89,True
33946.85,33947.45,False
33970.16,33970.77,False
33978.12,33978.93,False
34079.0,34080.34,False
34095.19,34095.8,False
34100.59,34101.2,False
34120.31,34121.02,False
34122.85,34123.48,False
34139.47,34140.54,False
34245.23,34245.83,False
34498.13,34498.73,True
35003.61,35004.4,True
35073.01,35073.76,False
35295.77,35296.37,True
35297.17,35298.3,True
35309.13,35309.73,True
35310.98,35311.58,True
35379.68,35380.28,True
35399.79,35400.39,False
35444.13,35444.93,False
35469.21,35469.81,True
35514.59,35515.19,True
35532.23,35533.0,True
35541.98,35542.58,True
35554.48,35555.11,False
35560.17,35560.8,False
35654.64,35655.24,True
35660.92,35661.64,True
35675.2,35675.81,True
35679.06,35679.82,True
35682.97,35684.85,True
35691.62,35692.23,True
35698.61,35699.21,False
35816.14,35816.8,True
35831.2,35831.8,True
35835.75,35836.36,True
35836.36,35837.49,False
35838.32,35840.23,True
35841.67,35842.31,True
35844.04,35845.09,False
35846.48,35847.4,True
35850.25,35851.05,True
35851.85,35852.46,True
