segtype,startsec,endsec
CHNNSP,1327.61,1328.66
TVN,1328.66,1329.87
TVF,1329.87,1330.98
FAF,1330.98,1331.98
CHF,1331.98,1332.58
TVF,1332.58,1333.39
TVN,1333.39,1335.12
TVN,1335.12,1335.81
TVN,1335.81,1338.72
FAN,1338.72,1339.72
TVN,1339.72,1340.72
FAN,1340.72,1341.62
SIL,1341.62,1358.95
CHNNSP,1358.95,1359.80
FAN,1359.80,1361.99
TVN,1361.99,1372.80
FAN,1372.80,1373.80
SIL,1373.80,1383.35
TVN,1383.35,1384.35
TVN,1384.35,1391.00
SIL,1391.00,1396.55
TVN,1396.55,1398.80
SIL,1398.80,1406.35
CXN,1406.35,1406.95
TVN,1406.95,1411.21
TVN,1411.21,1412.21
TVN,1412.21,1414.30
SIL,1414.30,1424.95
SIL,1424.95,1425.97
SIL,1425.97,1427.84
TVF,1427.84,1428.77
TVN,1428.77,1437.60
CXN,1437.60,1438.20
TVN,1438.20,1456.44
TVN,1456.44,1457.04
TVN,1457.04,1461.31
TVN,1461.31,1462.11
SIL,1462.11,1463.30
TVN,1463.30,1464.03
TVN,1464.03,1467.49
MAN,1467.49,1468.86
TVN,1468.86,1470.09
CXN,1470.09,1470.69
TVN,1470.69,1471.97
FAN,1471.97,1473.62
TVN,1473.62,1474.63
TVN,1474.63,1475.63
TVN,1475.63,1478.00
SIL,1478.00,1487.25
TVF,1487.25,1488.05
TVN,1488.05,1492.08
FAN,1492.08,1493.39
FAN,1493.39,1494.91
TVN,1494.91,1496.45
CXN,1496.45,1497.27
TVF,1497.27,1498.22
TVN,1498.22,1499.53
TVN,1499.53,1500.53
SIL,1500.53,1517.36
SIL,1517.36,1518.56
SIL,1518.56,1520.61
SIL,1520.61,1521.41
SIL,1521.41,1522.57
SIL,1522.57,1523.52
SIL,1523.52,1525.70
SIL,1525.70,1526.64
SIL,1526.64,1527.79
SIL,1527.79,1528.60
SIL,1528.60,1531.60
SIL,1531.60,1536.95
SIL,1536.95,1541.57
TVN,1541.57,1542.17
TVN,1542.17,1550.89
TVN,1550.89,1551.89
TVN,1551.89,1553.69
FAN,1553.69,1555.28
SIL,1555.28,1556.08
FAN,1556.08,1556.96
CXF,1556.96,1557.76
TVN,1557.76,1558.95
TVF,1558.95,1560.18
FAN,1560.18,1561.17
TVN,1561.17,1562.84
TVN,1562.84,1567.55
FAN,1567.55,1568.55
TVN,1568.55,1569.55
CXN,1569.55,1571.33
CHF,1571.33,1571.93
TVN,1571.93,1572.93
CXN,1572.93,1574.34
TVN,1574.34,1575.35
CXN,1575.35,1576.16
TVN,1576.16,1577.16
FAN,1577.16,1578.26
TVN,1578.26,1579.33
FAN,1579.33,1580.36
TVF,1580.36,1581.16
TVF,1581.16,1582.34
FAN,1582.34,1583.42
SIL,1583.42,1584.74
TVN,1584.74,1585.75
TVN,1585.75,1586.75
TVN,1586.75,1588.92
SIL,1588.92,1589.72
TVN,1589.72,1597.92
TVN,1597.92,1598.92
TVN,1598.92,1602.47
TVN,1602.47,1603.47
TVN,1603.47,1610.04
TVN,1610.04,1611.08
SIL,1611.08,1615.62
CHNSP,1615.62,1616.22
TVN,1616.22,1629.30
SIL,1629.30,1637.15
CHNNSP,1637.15,1637.75
SIL,1637.75,1640.12
FAN,1640.12,1641.32
TVN,1641.32,1642.58
TVN,1642.58,1643.66
TVN,1643.66,1653.67
FAN,1653.67,1654.80
TVN,1654.80,1655.80
FAN,1655.80,1656.53
TVN,1656.53,1660.17
